Timestamp,IPC_Type,Pattern,Producer_Count,Consumer_Count,Message_Count,Message_Size,Total_Time_Seconds,Throughput_Msg_Per_Sec,Avg_Latency_Microseconds,P95_Latency_Microseconds,P99_Latency_Microseconds,Error_Count,Retransmit_Count,Accuracy,Success
2026-07-03 16:44:48,shared_memory,1_1,1,1,500,64,0.012775,39137.72,1.27,1.30,4.10,2,0,99.60,true
2026-07-03 16:44:49,socket,1_1,1,1,500,64,0.167296,2988.71,29.87,57.40,90.80,9,9,98.20,true
2026-07-03 16:44:49,tcp,1_1,1,1,500,64,0.165203,3026.59,26.01,52.50,89.80,3,3,99.40,true
2026-07-03 16:44:49,shared_memory,1_2,1,2,500,64,0.013652,36623.60,1.84,2.50,14.10,0,0,100.00,true
2026-07-03 16:44:50,socket,1_2,1,2,500,64,0.166788,2997.81,28.80,60.70,97.50,6,6,98.80,true
2026-07-03 16:44:50,tcp,1_2,1,2,500,64,0.165561,3020.03,26.57,60.20,119.40,3,3,99.40,true
2026-07-03 16:44:51,shared_memory,1_4,1,4,500,64,0.012376,40401.10,1.24,1.40,2.90,12,0,97.60,true
2026-07-03 16:44:51,socket,1_4,1,4,500,64,0.162844,3070.42,22.76,35.00,83.40,2,2,99.60,true
2026-07-03 16:44:51,tcp,1_4,1,4,500,64,0.162848,3070.34,21.78,40.70,71.00,2,2,99.60,true
2026-07-03 16:44:52,shared_memory,2_1,2,1,1000,64,0.013927,71803.49,1.24,1.30,2.90,14,0,98.60,true
2026-07-03 16:44:52,socket,2_1,2,1,1000,64,0.166843,5993.66,29.40,57.80,99.10,10,10,99.00,true
2026-07-03 16:44:53,tcp,2_1,2,1,1000,64,0.165722,6034.21,28.25,53.50,88.50,11,11,98.90,true
2026-07-03 16:44:53,shared_memory,2_2,2,2,1000,64,0.013867,72113.65,1.43,1.90,6.00,18,0,98.20,true
2026-07-03 16:44:54,socket,2_2,2,2,1000,64,0.192643,5190.95,77.69,123.60,176.90,9,9,99.10,true
2026-07-03 16:44:54,tcp,2_2,2,2,1000,64,0.185869,5380.13,65.44,109.50,152.70,8,8,99.20,true
2026-07-03 16:44:54,shared_memory,2_4,2,4,1000,64,0.018505,54040.62,3.14,5.70,9.10,20,0,98.00,true
2026-07-03 16:44:55,socket,2_4,2,4,1000,64,0.175648,5693.21,45.67,87.80,141.40,10,10,99.00,true
2026-07-03 16:44:55,tcp,2_4,2,4,1000,64,0.180174,5550.19,54.44,93.70,119.70,9,9,99.10,true
2026-07-03 16:44:56,shared_memory,4_1,4,1,2000,64,0.017130,116756.28,1.36,2.10,2.80,30,0,98.50,true
2026-07-03 16:44:56,socket,4_1,4,1,2000,64,0.198183,10091.67,89.16,177.00,254.40,25,25,98.75,true
2026-07-03 16:44:57,tcp,4_1,4,1,2000,64,0.202321,9885.28,97.90,187.80,269.90,21,21,98.95,true
2026-07-03 16:44:57,shared_memory,4_2,4,2,2000,64,0.018983,105357.98,1.57,2.20,12.70,40,0,98.00,true
2026-07-03 16:44:57,socket,4_2,4,2,2000,64,0.195950,10206.66,86.28,157.70,216.50,23,23,98.85,true
2026-07-03 16:44:58,tcp,4_2,4,2,2000,64,0.197119,10146.18,89.56,170.90,237.50,22,22,98.90,true
2026-07-03 16:44:58,shared_memory,4_4,4,4,2000,64,0.018621,107405.04,1.40,1.70,3.70,46,0,97.70,true
2026-07-03 16:44:59,socket,4_4,4,4,2000,64,0.191580,10439.53,77.98,146.00,200.40,12,12,99.40,true
2026-07-03 16:44:59,tcp,4_4,4,4,2000,64,0.193488,10336.55,80.87,155.20,237.60,14,14,99.30,true
2026-07-03 16:45:00,shared_memory,1_1,1,1,500,1024,0.016316,30644.39,5.37,8.90,23.20,10,0,98.00,true
2026-07-03 16:45:00,socket,1_1,1,1,500,1024,0.167085,2992.50,30.24,62.60,113.90,3,3,99.40,true
2026-07-03 16:45:00,tcp,1_1,1,1,500,1024,0.166351,3005.70,29.53,63.60,95.40,6,6,98.80,true
2026-07-03 16:45:01,shared_memory,1_2,1,2,500,1024,0.015395,32477.66,3.84,4.60,14.50,10,0,98.00,true
2026-07-03 16:45:01,socket,1_2,1,2,500,1024,0.164922,3031.74,25.93,40.80,89.60,4,4,99.20,true
2026-07-03 16:45:02,tcp,1_2,1,2,500,1024,0.165689,3017.70,27.11,46.00,106.30,3,3,99.40,true
2026-07-03 16:45:02,shared_memory,1_4,1,4,500,1024,0.015902,31442.59,4.28,6.20,15.70,10,0,98.00,true
2026-07-03 16:45:03,socket,1_4,1,4,500,1024,0.165141,3027.71,26.89,45.20,124.10,6,6,98.80,true
2026-07-03 16:45:03,tcp,1_4,1,4,500,1024,0.165339,3024.09,26.24,45.70,101.60,4,4,99.20,true
2026-07-03 16:45:03,shared_memory,2_1,2,1,1000,1024,0.018921,52852.45,4.00,6.00,17.30,24,0,97.60,true
2026-07-03 16:45:04,socket,2_1,2,1,1000,1024,0.171849,5819.05,39.55,72.60,97.30,5,5,99.50,true
2026-07-03 16:45:04,tcp,2_1,2,1,1000,1024,0.175617,5694.20,46.81,96.80,159.50,8,8,99.20,true
2026-07-03 16:45:05,shared_memory,2_2,2,2,1000,1024,0.019869,50330.42,3.89,4.40,16.40,38,0,96.20,true
2026-07-03 16:45:05,socket,2_2,2,2,1000,1024,0.172462,5798.37,40.75,81.00,116.80,10,10,99.00,true
2026-07-03 16:45:05,tcp,2_2,2,2,1000,1024,0.171700,5824.11,38.95,70.00,116.30,9,9,99.10,true
2026-07-03 16:45:06,shared_memory,2_4,2,4,1000,1024,0.019387,51582.29,3.89,4.40,16.80,14,0,98.60,true
2026-07-03 16:45:06,socket,2_4,2,4,1000,1024,0.175204,5707.63,45.72,83.70,129.20,14,14,98.60,true
2026-07-03 16:45:07,tcp,2_4,2,4,1000,1024,0.173520,5763.01,42.37,74.20,136.80,11,11,98.90,true
2026-07-03 16:45:07,shared_memory,4_1,4,1,2000,1024,0.029388,68054.76,4.33,6.10,16.00,50,0,97.50,true
2026-07-03 16:45:08,socket,4_1,4,1,2000,1024,0.206269,9696.06,107.09,208.00,301.40,25,25,98.75,true
2026-07-03 16:45:08,tcp,4_1,4,1,2000,1024,0.221285,9038.11,136.25,265.10,388.70,17,17,99.15,true
2026-07-03 16:45:09,shared_memory,4_2,4,2,2000,1024,0.032167,62175.91,5.10,9.50,27.10,40,0,98.00,true
2026-07-03 16:45:09,socket,4_2,4,2,2000,1024,0.213678,9359.87,120.70,233.20,318.30,16,16,99.20,true
2026-07-03 16:45:09,tcp,4_2,4,2,2000,1024,0.209300,9555.67,113.15,220.80,299.40,23,23,98.85,true
2026-07-03 16:45:10,shared_memory,4_4,4,4,2000,1024,0.030597,65365.03,4.25,5.80,15.70,32,0,98.40,true
2026-07-03 16:45:10,socket,4_4,4,4,2000,1024,0.218812,9140.26,131.31,253.60,337.00,17,17,99.15,true
2026-07-03 16:45:11,tcp,4_4,4,4,2000,1024,0.209917,9527.58,114.37,221.50,308.70,26,26,98.70,true

=== Test Statistics ===
Total Tests,54
Successful Tests,54
Failed Tests,0
Success Rate,100.00%
